carbons,temperature,pressure,density,density_error,diff,diff_error,ee,ee_error,rg,rg_error
160,463,1,775.609,0.15,0.1953,0.023,5.6502,0.0899,2.2315,0.0238
160,423,1,798.86,0.037,0.1136,0.0054,5.7403,0.0413,2.2609,0.0163
160,373,1,828.111,0.12,0.0587,0.0063,5.9840,0.1147,2.3403,0.0209
160,413,1,804.849,0.16,0.1167,0.0132,5.7439,0.0440,2.2581,0.0195
160,573,1,712.153,0.15,0.3751,0.0325,5.3364,0.0864,2.1099,0.0143
160,393,1,816.076,0.12,0.0695,0.0068,5.7728,0.1818,2.2904,0.0286
160,473,1,769.959,0.08,0.164,0.0071,5.5662,0.0709,2.1986,0.0295
160,433,1,793.398,0.12,0.1461,0.0071,5.6591,0.0955,2.2244,0.0292
160,383,1,822.312,0.084,0.0712,0.0053,5.9947,0.0717,2.3213,0.0452
160,453,1,781.931,0.12,0.1537,0.0204,5.7248,0.1041,2.2429,0.0255
160,443,1,787.254,0.067,0.1436,0.0168,5.7322,0.0499,2.2451,0.0145
160,403,1,810.446,0.059,0.0989,0.0167,5.8094,0.1774,2.2939,0.0222
80,463,1,775.698,0.1,0.4571,0.0073,3.8982,0.0617,1.4987,0.0098
80,423,1,799.491,0.094,0.2573,0.0307,4.0267,0.0168,1.5361,0.0050
80,373,1,830.064,0.19,0.1609,0.0297,4.1791,0.0592,1.5844,0.0160
80,413,1,806.049,0.078,0.198,0.0157,4.0483,0.0282,1.5403,0.0125
80,573,1,707.281,0.22,0.918,0.0354,3.7360,0.0574,1.4407,0.0161
80,393,1,818.024,0.21,0.1879,0.0054,4.1802,0.1025,1.5754,0.0180
80,473,1,769.167,0.22,0.47,0.0498,3.9180,0.0272,1.4968,0.0045
80,433,1,793.333,0.17,0.2375,0.08,4.0073,0.0452,1.5276,0.0149
80,383,1,824.206,0.19,0.1673,0.0019,4.1069,0.0687,1.5641,0.0153
80,453,1,781.479,0.075,0.3269,0.001,3.9497,0.0433,1.5077,0.0156
80,443,1,787.296,0.1,0.3521,0.0387,4.0207,0.0718,1.5274,0.0129
80,403,1,811.941,0.11,0.2351,0.0087,4.0270,0.0818,1.5380,0.0227
168,373,1,827.847,0.084,0.0629,0.0049,6.0028,0.1392,2.3757,0.0310
168,573,1,712.429,0.091,0.3259,0.0045,5.5155,0.0364,2.1724,0.0159
168,473,1,770.326,0.11,0.1458,0.0264,5.7984,0.0624,2.2805,0.0208
40,463,1,774.179,0.12,0.9117,0.0138,2.7537,0.0185,1.0107,0.0013
40,423,1,800.746,0.15,0.5567,0.0984,2.8195,0.0382,1.0284,0.0043
40,373,1,833.896,0.23,0.2211,0.017,2.9121,0.0277,1.0564,0.0050
40,413,1,807.368,0.17,0.3871,0.0174,2.8207,0.0158,1.0306,0.0073
40,573,1,699.106,0.33,2.486,0.1287,2.6567,0.0203,0.9824,0.0020
40,393,1,820.442,0.19,0.425,0.0514,2.8457,0.0200,1.0418,0.0037
40,473,1,767.35,0.23,0.8852,0.1061,2.7276,0.0078,1.0078,0.0041
40,433,1,793.973,0.2,0.5807,0.0026,2.7922,0.0091,1.0257,0.0033
40,383,1,827.007,0.13,0.2974,0.0019,2.8442,0.0702,1.0420,0.0125
40,453,1,780.674,0.23,0.7454,0.0394,2.7752,0.0401,1.0146,0.0018
40,443,1,787.199,0.28,0.6755,0.0421,2.7754,0.0050,1.0219,0.0067
40,403,1,813.832,0.13,0.3455,0.0042,2.8350,0.0114,1.0354,0.0023
208,373,1,827.268,0.1,0.0441,0.0089,6.8095,0.1036,2.6972,0.0577
208,573,1,713.497,0.23,0.2149,0.0139,6.1066,0.1037,2.4255,0.0281
208,473,1,770.166,0.12,0.1116,0.0066,6.4151,0.1330,2.5309,0.0463
100,463,1,775.738,0.12,0.3198,0.0217,4.4080,0.0442,1.7060,0.0114
100,423,1,799.381,0.035,0.1846,0.0077,4.5201,0.0580,1.7462,0.0171
100,373,1,829.209,0.19,0.0929,0.0055,4.6667,0.0341,1.7922,0.0079
100,413,1,805.453,0.033,0.1868,0.0123,4.5571,0.0461,1.7548,0.0138
100,573,1,709.623,0.19,0.6401,0.0371,4.2080,0.0362,1.6350,0.0099
100,393,1,817.561,0.17,0.1176,0.0112,4.6847,0.1047,1.7891,0.0224
100,473,1,769.424,0.28,0.2563,0.1074,4.4145,0.0542,1.7030,0.0099
100,433,1,793.348,0.097,0.2458,0.0322,4.5167,0.0967,1.7367,0.0181
100,383,1,823.418,0.17,0.1496,0.0199,4.7120,0.0976,1.7935,0.0165
100,453,1,781.555,0.077,0.2735,0.0346,4.4416,0.0448,1.7130,0.0115
100,443,1,787.566,0.07,0.2307,0.0102,4.4009,0.1027,1.7113,0.0194
100,403,1,811.578,0.18,0.2068,0.0171,4.5011,0.1500,1.7414,0.0406
108,373,1,829.08,0.12,0.0985,0.0137,4.8487,0.0310,1.8790,0.0198
108,573,1,709.934,0.26,0.7694,0.0144,4.4254,0.0815,1.7096,0.0074
108,473,1,769.299,0.14,0.2763,0.0183,4.5759,0.0264,1.7725,0.0039
140,463,1,775.79,0.12,0.2084,0.0096,5.2139,0.0668,2.0482,0.0195
140,423,1,799.141,0.12,0.144,0.0091,5.3608,0.0694,2.0982,0.0139
140,373,1,828.597,0.11,0.0663,0.0,5.6145,0.0752,2.1820,0.0209
140,413,1,804.899,0.17,0.1245,0.0102,5.3819,0.0939,2.1075,0.0265
140,573,1,711.401,0.15,0.4026,0.0473,4.9640,0.0722,1.9526,0.0246
140,393,1,816.648,0.14,0.0833,0.0178,5.4860,0.0828,2.1433,0.0177
140,473,1,770.122,0.17,0.2072,0.0017,5.2411,0.0698,2.0477,0.0177
140,433,1,793.333,0.11,0.1751,0.0221,5.3601,0.0578,2.0856,0.0131
140,383,1,822.622,0.063,0.0817,0.0014,5.5779,0.1345,2.1699,0.0352
140,453,1,781.488,0.22,0.134,0.0223,5.2335,0.0583,2.0625,0.0288
140,443,1,787.594,0.11,0.1492,0.0117,5.3032,0.0698,2.0743,0.0191
140,403,1,810.903,0.094,0.1154,0.0007,5.4716,0.1299,2.1241,0.0151
148,373,1,828.184,0.13,0.0698,0.0054,5.7435,0.1393,2.2418,0.0396
148,573,1,712.352,0.16,0.3323,0.018,5.1826,0.0781,2.0379,0.0190
148,473,1,770.125,0.11,0.1846,0.0033,5.4236,0.1832,2.1307,0.0639
180,463,1,775.64,0.13,0.1138,0.0103,5.9482,0.0789,2.3592,0.0128
180,423,1,799.213,0.12,0.0935,0.0082,6.1045,0.1326,2.4171,0.0238
180,373,1,827.609,0.1,0.0573,0.0056,6.3711,0.1533,2.4979,0.0512
180,413,1,804.506,0.11,0.0906,0.0156,6.2362,0.0841,2.4388,0.0164
180,573,1,712.502,0.11,0.3141,0.0098,5.6724,0.0588,2.2498,0.0190
180,393,1,816.227,0.087,0.0488,0.0108,6.3371,0.0878,2.4908,0.0207
180,473,1,770.262,0.18,0.1495,0.0105,6.0134,0.1194,2.3626,0.0333
180,433,1,792.896,0.08,0.1008,0.0137,6.0623,0.0810,2.3956,0.0235
180,383,1,822.374,0.076,0.0586,0.0001,6.2363,0.1072,2.4605,0.0259
180,453,1,781.46,0.056,0.1274,0.0324,6.0174,0.1543,2.3712,0.0510
180,443,1,787.244,0.088,0.1084,0.0064,6.0168,0.0993,2.3664,0.0413
180,403,1,809.987,0.058,0.0761,0.0038,6.1017,0.2026,2.4158,0.0489
188,373,1,827.455,0.08,0.0486,0.0099,6.4044,0.0800,2.5433,0.0250
188,573,1,713.326,0.17,0.2956,0.0008,5.8499,0.1505,2.3048,0.0172
188,473,1,770.174,0.096,0.1232,0.0092,6.0115,0.1238,2.3868,0.0358
60,463,1,775.051,0.14,0.5895,0.0929,3.3978,0.0262,1.2781,0.0056
60,423,1,800.171,0.12,0.4058,0.0004,3.4811,0.0250,1.3055,0.0078
60,373,1,831.475,0.09,0.1841,0.014,3.5721,0.0198,1.3359,0.0045
60,413,1,806.513,0.11,0.3514,0.0141,3.4911,0.0360,1.3075,0.0083
60,573,1,704.122,0.3,1.0858,0.0526,3.2583,0.0074,1.2332,0.0051
60,393,1,819.227,0.14,0.2403,0.0235,3.5153,0.0528,1.3173,0.0150
60,473,1,768.446,0.21,0.5512,0.1043,3.3394,0.0610,1.2631,0.0159
60,433,1,793.745,0.16,0.3687,0.048,3.4451,0.0481,1.2927,0.0131
60,383,1,824.89,0.14,0.206,0.0094,3.5781,0.0334,1.3349,0.0095
60,453,1,781.033,0.19,0.5551,0.0212,3.4146,0.0134,1.2834,0.0027
60,443,1,787.379,0.09,0.4774,0.0121,3.4280,0.0226,1.2883,0.0055
60,403,1,812.566,0.11,0.3376,0.0211,3.5408,0.0216,1.3230,0.0072
28,373,1,836.158,0.11,0.353,0.075,2.4044,0.0236,0.8557,0.0038
28,573,1,691.384,0.37,2.7962,0.356,2.2324,0.0607,0.8085,0.0115
28,473,1,766.053,0.29,1.0709,0.0092,2.2715,0.0069,0.8244,0.0050
48,373,1,832.452,0.17,0.2957,0.0033,3.1874,0.0203,1.1740,0.0055
48,573,1,701.263,0.18,1.578,0.1877,2.8944,0.0070,1.0842,0.0041
48,473,1,767.658,0.28,0.6344,0.0382,3.0180,0.0227,1.1227,0.0079
68,373,1,830.739,0.1,0.1647,0.0091,3.8401,0.0271,1.4459,0.0117
68,573,1,705.297,0.33,1.2002,0.0007,3.4770,0.0314,1.3243,0.0063
68,473,1,768.455,0.33,0.5501,0.1153,3.5948,0.0290,1.3669,0.0038
88,373,1,829.939,0.16,0.1308,0.0023,4.4321,0.1120,1.6793,0.0188
88,573,1,708.16,0.26,0.7228,0.1227,3.9402,0.0454,1.5239,0.0101
88,473,1,768.993,0.15,0.3784,0.005,4.1454,0.0352,1.5931,0.0140
